# dataset=entso_e_eic_directory
# created_at=2026-08-13T01:15:13Z
# source=https://eepublicdownloads.blob.core.windows.net/cio-lio/xml/allocated-eic-codes.xml
# source_sha256=b53840e8e377b11d12c63241a6a06e68ee36c221897930dae97c0c6ff1903a98
# record_count=76256
# active_record_count=72916
# inactive_record_count=3340
eic_code	status
10T-GR-IT-00001I	inactive
10T-GR-IT-00002G	active
10T-GR-MK-00001H	active
10T-GR-MK-00002F	active
10T-GR-MK-00003D	active
10T-GR-TR-000027	active
10T-HR-HU-000017	inactive
10T-HR-HU-000025	active
10T-HR-HU-000033	active
10T-HR-HU-000041	active
10T-HR-RS-000017	active
10T-HR-RS-000025	active
10T-HR-SI-000014	active
10T-HR-SI-000022	active
10T-HR-SI-000030	inactive
10T-HR-SI-00004Z	active
10T-HR-SI-00005X	active
10T-HR-SI-00006V	inactive
10T-HR-SI-00007T	active
10T-HR-SI-00008R	active
10T-HR-SI-00009P	active
10T-HU-RO-000016	active
10T-HU-RO-000024	active
10T-HU-SK-00001T	active
10T-HU-SK-00002R	active
10T-HU-SR-00001A	active
10T-HU-UA-00001H	active
10T-HU-UA-00002F	active
10T-HU-UA-00003D	active
10T-HU-UA-00004B	active
10T-IE-GB-000021	active
10T-IT-FR-000057	active
10T-IT-FR-000081	active
10T-IT-MT-00001A	active
10T-IT-SI-000017	active
10T-IT-SI-000025	active
10T-LT-LV-000014	active
10T-LT-LV-000022	active
10T-LT-LV-000030	active
10T-LT-LV-00005X	active
10T-LT-PL-00001B	active
10T-LT-PL-000029	active
10T-LT-PL-000037	active
10T-LT-PL-000045	active
10T-LT-RU-00001W	inactive
10T-LT-RU-00002U	inactive
10T-LT-RU-00003S	inactive
10T-LT-RU-00004Q	inactive
10T-LT-RU-00005O	inactive
10T-LT-RU-00006M	inactive
10T-LT-SE-000013	active
10T-LU-BE-00001Y	active
10T-LU-BE-00002W	active
10T-LU-BE-00003U	active
10T-LU-BE-00004S	active
10T-LU-DE-00001G	active
10T-LU-DE-00002E	active
10T-LU-DE-00003C	active
10T-LU-DE-00004A	inactive
10T-LU-DE-000058	active
10T-LU-DE-000066	active
10T-LU-DE-000074	active
10T-LU-DE-000082	active
10T-LV-RU-00001A	active
10T-ME-RS-00001G	active
10T-ME-RS-00002E	active
10T-ME-RS-00003C	active
10T-ME-RS-00004A	inactive
10T-ME-RS-000066	inactive
10T-MK-BG-000015	active
10T-MK-BG-000023	active
10T-NI-GB-000028	active
10T-NL-GB-00001E	active
10T-NL-NO-00001W	active
10T-NO-DE-00001L	inactive
10T-NO-DE-00002J	active
10T-NO-GB-00001I	active
10T-NO-RU-00001Q	active
10T-NO-SE-00005Q	active
10T-PL-SE-000016	active
10T-PL-SK-00001W	active
10T-PL-SK-00002U	active
10T-PL-UA-00001K	active
10T-PL-UA-00101G	active
10T-RO-BG-00001C	active
10T-RO-BG-00002A	active
10T-RO-BG-000038	active
10T-RO-MD-00001B	active
10T-RO-MD-000029	active
10T-RO-MD-000037	active
10T-RO-MD-000045	active
10T-RO-MD-000053	active
10T-RO-RS-00001V	active
10T-RO-RS-00002T	active
10T-RO-RS-00003R	active
10T-RO-RS-00004P	active
10T-RO-UA-000010	active
10T-RS-HR-00001B	active
10T-RS-MK-00001M	active
10T-RS-MK-00002K	active
10T-RS-MK-00003I	inactive
10T-RS-MK-00004G	active
10T-SE-FI-00001L	active
10T-SE-FI-00002J	active
10T-SE-FI-00003H	active
10T-SE-FI-00004F	active
