# source=https://www.bundesbank.de/resource/blob/926192/b27b518a016ea7ca7af321eb7289fcf4/472B63F073F071307366337C94F8C870/blz-aktuell-csv-data.csv
# source_sha256=3a5484358b326d6d9ed8bea003601a7d79abbc100cdb81fd0d30e0c8a21898a6
# valid_from=2026-06-08
# valid_to=2026-09-06
# synthetic_non_routable_bank_code=00000000
bank_code,bic,change_marker,deletion_flag,successor_bank_code
20041155,COBADEHD055,U,0,00000000
20041166,COBADEHD066,U,0,00000000
20041177,COBADEHD077,U,0,00000000
20041188,COBADEHD088,U,0,00000000
20041199,COBADEHD099,U,0,00000000
20050550,HASPDEHHXXX,U,0,00000000
20060000,GENODEFF200,U,0,00000000
20069111,GENODEF1NDR,U,0,00000000
20069125,GENODEF1KLK,U,0,00000000
20069130,GENODEF1BBR,U,0,00000000
20069144,GENODEF1SST,U,0,00000000
20069177,GENODEF1GRS,M,0,00000000
20069232,GENODEF1STV,U,0,00000000
20069641,GENODEF1OWS,U,0,00000000
20069780,GENODEF1AST,U,0,00000000
20069782,GENODEF1APE,U,0,00000000
20069786,GENODEF1DRO,U,0,00000000
20069800,GENODEF1HAA,U,0,00000000
20069812,GENODEF1FRB,U,0,00000000
20069815,GENODEF1815,U,1,00000000
20069861,GENODEF1RRZ,U,0,00000000
20069882,GENODEF1RLT,U,1,00000000
20069965,GENODEF1WIM,U,0,00000000
20069989,GENODEF1WUL,U,0,00000000
20070000,DEUTDEHHXXX,U,0,00000000
20070024,DEUTDEDBHAM,U,0,00000000
20070404,DEUTDEHHP34,U,0,00000000
20070424,DEUTDEDBP34,U,0,00000000
20080000,DRESDEFF200,U,0,00000000
20080055,DRESDEFF207,U,0,00000000
20080057,DRESDEFF208,U,0,00000000
20080085,DRESDEFFI56,U,0,00000000
20080086,DRESDEFFI63,U,0,00000000
20080087,DRESDEFFI64,U,0,00000000
20080088,DRESDEFFI74,U,0,00000000
20080089,DRESDEFFI75,U,0,00000000
20080091,DRESDEFFJ33,U,0,00000000
20080092,DRESDEFFJ34,U,0,00000000
20080093,DRESDEFFJ35,U,0,00000000
20080094,DRESDEFFJ36,U,0,00000000
20080095,DRESDEFFJ37,U,0,00000000
20089200,DRESDEFFI06,U,0,00000000
20090400,DGHYDEH1XXX,U,0,00000000
20090700,EDEKDEHHXXX,U,0,00000000
20090745,EDEKDEHHXXX,U,0,00000000
20090900,GENODEF1P08,U,0,00000000
20110022,PBNKDEFFXXX,U,0,00000000
20110700,BOTKDEH1XXX,U,0,00000000
20110800,BKCHDEFFHMB,U,0,00000000
20120000,BEGODEHHXXX,U,0,00000000
20120100,WBWCDEHHXXX,U,0,00000000
20120200,BHFBDEFF200,U,0,00000000
20120400,DRBKDEH1XXX,U,0,00000000
20120520,BFSWDE33HAN,U,0,00000000
20120600,GOGODEH1XXX,U,0,00000000
20120700,HSTBDEHHXXX,U,0,00000000
20130400,GREBDEH1XXX,U,0,00000000
20130600,BARCDEHAXXX,U,0,00000000
20133300,SCFBDE33XXX,M,0,00000000
20190003,GENODEF1HH2,U,0,00000000
20190077,GENODEF1HH2,U,0,00000000
20190109,GENODEF1HH4,M,0,00000000
20190206,GENODEF1HH1,U,0,00000000
20190301,GENODEF1HH3,U,0,00000000
20190800,GENODEF1MKB,U,0,00000000
20210200,MELIDEHHXXX,U,0,00000000
20210300,SIHRDEH1HAM,U,0,00000000
20220100,DNBADEHXXXX,U,0,00000000
20220800,SXPYDEHHXXX,U,0,00000000
20230300,OSCBDEH1XXX,U,0,00000000
20230600,ISBKDEFXXXX,U,0,00000000
20230800,MHSBDEHBXXX,U,0,00000000
20310300,EIHBDEHHXXX,U,0,00000000
20690500,GENODEF1S11,U,0,00000000
20730001,HYVEDEMME01,U,0,00000000
20730002,HYVEDEMME02,U,0,00000000
20730003,HYVEDEMME03,U,0,00000000
20730004,HYVEDEMME04,U,0,00000000
20730005,HYVEDEMME05,U,0,00000000
20730006,HYVEDEMME06,U,0,00000000
20730007,HYVEDEMME07,U,0,00000000
20730008,HYVEDEMME08,U,0,00000000
20730009,HYVEDEMME09,U,0,00000000
20730010,HYVEDEMME10,U,0,00000000
20730011,HYVEDEMME11,U,0,00000000
20730012,HYVEDEMME12,U,0,00000000
20730013,HYVEDEMME13,U,0,00000000
20730014,HYVEDEMME14,U,0,00000000
20730015,HYVEDEMME15,U,0,00000000
20730016,HYVEDEMME16,U,0,00000000
20730017,HYVEDEMME17,U,0,00000000
20730018,HYVEDEMME18,U,0,00000000
20730019,HYVEDEMME19,U,0,00000000
20730020,HYVEDEMME20,U,0,00000000
20730021,HYVEDEMME21,U,0,00000000
20730022,HYVEDEMME22,U,0,00000000
20730023,HYVEDEMME23,U,0,00000000
20730024,HYVEDEMME24,U,0,00000000
20730025,HYVEDEMME25,U,0,00000000
20730026,HYVEDEMME26,U,0,00000000
20730027,HYVEDEMME27,U,0,00000000
20730028,HYVEDEMME28,U,0,00000000
20730029,HYVEDEMME29,U,0,00000000
20730030,HYVEDEMME30,U,0,00000000
20730031,HYVEDEMME31,U,0,00000000
20730032,HYVEDEMME32,U,0,00000000
20730033,HYVEDEMME33,U,0,00000000
20730034,HYVEDEMME34,U,0,00000000
20730035,HYVEDEMME35,U,0,00000000
20730036,HYVEDEMME36,U,0,00000000
20730037,HYVEDEMME37,U,0,00000000
20730038,HYVEDEMME38,U,0,00000000
20730039,HYVEDEMME39,U,0,00000000
20730040,HYVEDEMME40,U,0,00000000
20730041,HYVEDEMME41,U,0,00000000
20730042,HYVEDEMME42,U,0,00000000
20730043,HYVEDEMME43,U,0,00000000
20730044,HYVEDEMME44,U,0,00000000
20730045,HYVEDEMME45,U,0,00000000
20730046,HYVEDEMME46,U,0,00000000
20730047,HYVEDEMME47,U,0,00000000
20730048,HYVEDEMME48,U,0,00000000
20730049,HYVEDEMME49,U,0,00000000
20730050,HYVEDEMME50,U,0,00000000
20730052,HYVEDEMME52,U,0,00000000
20730055,HYVEDEMME55,U,0,00000000
20730056,HYVEDEMME56,U,0,00000000
20730057,HYVEDEMME57,U,0,00000000
20730058,HYVEDEMME58,U,0,00000000
20730059,HYVEDEMME59,U,0,00000000
20730060,HYVEDEMME60,U,0,00000000
20730061,HYVEDEMME61,U,0,00000000
20730062,HYVEDEMME62,U,0,00000000
20730063,HYVEDEMME63,U,0,00000000
20730064,HYVEDEMME64,U,0,00000000
20730065,HYVEDEMME65,U,0,00000000
20730066,HYVEDEMME66,U,0,00000000
